elapsed,temp_phy0,temp_phy1
1.0,62.0,62.0
2.1,62.0,62.0
3.1,65.0,65.0
4.2,65.0,65.0
5.3,65.0,65.0
6.3,65.0,65.0
7.4,65.0,65.0
8.4,65.0,65.0
9.5,67.0,67.0
10.6,65.0,65.0
11.6,65.0,65.0
12.7,65.0,65.0
13.8,65.0,65.0
14.8,67.0,67.0
15.9,67.0,67.0
16.9,67.0,67.0
18.0,67.0,67.0
19.1,67.0,67.0
20.1,67.0,67.0
21.2,67.0,67.0
22.3,67.0,67.0
23.3,67.0,67.0
24.4,67.0,67.0
25.5,65.0,65.0
26.5,67.0,67.0
27.6,67.0,67.0
28.6,67.0,67.0
29.7,67.0,67.0
30.8,67.0,67.0
31.8,67.0,67.0
32.9,67.0,67.0
33.9,67.0,67.0
35.0,67.0,67.0
36.1,67.0,67.0
37.1,67.0,67.0
38.2,67.0,67.0
39.2,67.0,67.0
40.3,67.0,67.0
41.4,67.0,67.0
42.4,67.0,67.0
43.5,67.0,67.0
44.5,67.0,67.0
45.6,67.0,67.0
46.7,67.0,67.0
47.7,67.0,67.0
48.8,67.0,67.0
49.9,67.0,67.0
50.9,67.0,67.0
52.0,67.0,67.0
53.0,67.0,67.0
54.1,67.0,67.0
55.2,67.0,67.0
56.2,67.0,67.0
57.3,67.0,67.0
58.4,67.0,67.0
59.4,67.0,67.0
60.5,67.0,67.0
61.5,67.0,67.0
62.6,67.0,67.0
63.7,67.0,67.0
64.7,67.0,67.0
65.8,67.0,67.0
66.8,69.0,69.0
67.9,67.0,67.0
69.0,67.0,67.0
70.0,69.0,69.0
71.1,67.0,67.0
