elapsed,temp_phy0,temp_phy1
1.0,77.0,77.0
2.1,83.0,83.0
3.1,88.0,88.0
4.2,90.0,90.0
5.3,92.0,92.0
6.3,94.0,94.0
7.4,96.0,96.0
8.5,94.0,94.0
9.5,96.0,96.0
10.6,96.0,96.0
11.7,98.0,98.0
12.7,100.0,100.0
13.8,100.0,100.0
14.8,100.0,100.0
15.9,102.0,102.0
17.0,102.0,102.0
18.0,104.0,104.0
19.1,104.0,104.0
20.2,104.0,104.0
21.2,107.0,107.0
22.3,107.0,107.0
23.4,107.0,107.0
24.4,109.0,109.0
25.5,109.0,109.0
26.6,109.0,109.0
27.6,111.0,111.0
28.7,113.0,113.0
29.8,113.0,113.0
30.8,113.0,113.0
31.9,113.0,113.0
33.0,113.0,113.0
34.0,115.0,115.0
35.1,115.0,115.0
36.2,115.0,115.0
37.2,117.0,117.0
38.3,117.0,117.0
39.4,117.0,117.0
40.4,117.0,117.0
41.5,117.0,117.0
42.6,119.0,119.0
43.6,117.0,117.0
44.7,115.0,115.0
45.8,115.0,115.0
46.8,115.0,115.0
47.9,115.0,115.0
49.0,115.0,115.0
50.0,115.0,115.0
51.1,115.0,115.0
52.1,115.0,115.0
53.2,117.0,117.0
54.3,117.0,117.0
55.3,117.0,117.0
56.4,117.0,117.0
57.4,117.0,117.0
58.5,117.0,117.0
59.6,117.0,117.0
60.6,117.0,117.0
61.7,117.0,117.0
62.8,117.0,117.0
63.8,117.0,117.0
64.9,117.0,117.0
66.0,117.0,117.0
67.0,119.0,119.0
68.1,117.0,117.0
69.2,115.0,115.0
70.2,115.0,115.0
71.3,115.0,115.0
72.3,113.0,113.0
73.4,113.0,113.0
74.5,113.0,113.0
75.5,113.0,113.0
76.6,113.0,113.0
77.7,113.0,113.0
78.7,113.0,113.0
79.8,113.0,113.0
80.8,113.0,113.0
81.9,113.0,113.0
83.0,113.0,113.0
84.0,113.0,113.0
85.1,113.0,113.0
86.2,113.0,113.0
87.2,113.0,113.0
88.3,113.0,113.0
89.3,113.0,113.0
90.4,113.0,113.0
91.5,113.0,113.0
92.5,113.0,113.0
93.6,113.0,113.0
94.6,113.0,113.0
95.7,113.0,113.0
96.8,113.0,113.0
97.8,113.0,113.0
98.9,113.0,113.0
100.0,113.0,113.0
101.0,113.0,113.0
102.1,113.0,113.0
103.1,113.0,113.0
104.2,113.0,113.0
105.3,113.0,113.0
106.3,113.0,113.0
107.4,113.0,113.0
108.5,113.0,113.0
109.5,113.0,113.0
110.6,113.0,113.0
111.6,113.0,113.0
112.7,113.0,113.0
113.8,113.0,113.0
114.8,113.0,113.0
115.9,113.0,113.0
117.0,113.0,113.0
118.0,113.0,113.0
119.1,113.0,113.0
120.1,113.0,113.0
121.2,115.0,115.0
122.3,113.0,113.0
123.3,113.0,113.0
124.4,113.0,113.0
125.5,113.0,113.0
126.5,115.0,115.0
127.6,113.0,113.0
128.7,113.0,113.0
129.7,113.0,113.0
130.8,115.0,115.0
131.9,113.0,113.0
132.9,113.0,113.0
134.0,113.0,113.0
135.0,113.0,113.0
136.1,113.0,113.0
137.2,113.0,113.0
138.2,113.0,113.0
139.3,113.0,113.0
140.3,113.0,113.0
141.4,113.0,113.0
142.5,115.0,115.0
143.5,113.0,113.0
144.6,115.0,115.0
145.7,115.0,115.0
146.7,113.0,113.0
147.8,115.0,115.0
148.8,113.0,113.0
149.9,115.0,115.0
