elapsed,temp_phy0,temp_phy1,tx_mbps,rx_mbps,total_mbps
1.0,67.0,67.0,0.0,0.0,0.0
2.1,71.0,71.0,105.6,48.2,153.8
3.1,73.0,73.0,102.6,56.2,158.8
4.2,75.0,75.0,97.9,51.0,148.9
5.3,77.0,77.0,91.1,66.8,157.9
6.3,77.0,77.0,83.1,65.0,148.1
7.4,77.0,77.0,87.8,54.9,142.7
8.4,79.0,79.0,56.8,49.3,106.1
9.5,79.0,79.0,62.9,51.4,114.3
10.6,79.0,79.0,85.8,65.0,150.8
11.6,81.0,81.0,73.7,40.5,114.2
12.7,81.0,81.0,96.6,38.4,135.0
13.8,81.0,81.0,101.7,38.1,139.8
14.8,79.0,79.0,134.3,33.6,167.9
15.9,79.0,79.0,119.0,32.5,151.5
16.9,79.0,79.0,127.6,32.9,160.5
18.0,79.0,79.0,95.9,29.7,125.6
19.1,79.0,79.0,109.8,31.8,141.6
20.1,79.0,79.0,129.0,108.3,237.3
21.2,79.0,79.0,103.7,38.8,142.5
22.2,79.0,79.0,104.0,41.3,145.3
23.3,79.0,79.0,110.7,40.2,150.9
24.4,81.0,81.0,54.4,30.4,84.8
25.4,81.0,81.0,73.1,22.7,95.8
26.5,81.0,81.0,92.9,16.8,109.7
27.6,81.0,81.0,108.7,22.0,130.7
28.6,81.0,81.0,111.8,26.6,138.4
29.7,81.0,81.0,158.8,18.9,177.7
30.8,81.0,81.0,92.2,21.0,113.2
31.8,83.0,83.0,124.9,22.7,147.6
32.9,83.0,83.0,136.3,12.2,148.5
33.9,81.0,81.0,166.6,23.6,190.2
35.0,81.0,81.0,175.4,23.3,198.7
36.1,81.0,81.0,191.0,78.4,269.4
37.1,81.0,81.0,204.9,22.3,227.2
38.2,81.0,81.0,163.6,23.1,186.7
39.2,81.0,81.0,134.6,26.2,160.8
40.3,81.0,81.0,154.8,19.6,174.4
41.4,81.0,81.0,125.2,15.4,140.6
42.4,83.0,83.0,111.7,26.2,137.9
43.5,83.0,83.0,166.8,22.0,188.8
44.6,83.0,83.0,165.0,26.2,191.2
45.6,83.0,83.0,46.1,91.5,137.6
46.7,83.0,83.0,122.8,29.7,152.5
47.7,83.0,83.0,123.6,31.8,155.4
48.8,83.0,83.0,137.3,32.8,170.1
49.9,83.0,83.0,145.5,33.2,178.7
50.9,83.0,83.0,151.5,31.1,182.6
52.0,83.0,83.0,144.7,35.7,180.4
53.1,83.0,83.0,229.1,105.2,334.3
54.1,83.0,83.0,264.9,88.9,353.8
55.2,83.0,83.0,247.4,23.8,271.2
56.2,83.0,83.0,266.0,21.0,287.0
57.3,83.0,83.0,188.1,21.0,209.1
58.4,83.0,83.0,190.7,22.4,213.1
59.4,81.0,81.0,257.1,25.2,282.3
60.5,81.0,81.0,331.7,29.0,360.7
61.5,79.0,79.0,429.8,30.7,460.5
62.6,79.0,79.0,446.2,35.7,481.9
63.7,79.0,79.0,365.0,49.2,414.2
64.7,79.0,79.0,496.0,51.0,547.0
65.8,79.0,79.0,404.7,58.7,463.4
66.9,79.0,79.0,428.3,45.4,473.7
67.9,79.0,79.0,415.0,62.6,477.6
69.0,79.0,79.0,453.7,53.1,506.8
70.0,79.0,79.0,62.6,162.5,225.1
71.1,79.0,79.0,331.5,17.8,349.3
72.2,79.0,79.0,244.0,21.7,265.7
73.2,79.0,79.0,244.7,31.8,276.5
74.3,77.0,77.0,244.7,31.8,276.5
75.4,75.0,75.0,244.7,31.8,276.5
