elapsed,temp_phy0,temp_phy1
1.0,100.0,100.0
2.1,104.0,104.0
3.1,109.0,109.0
4.2,111.0,111.0
5.3,113.0,113.0
6.3,113.0,113.0
7.4,115.0,115.0
8.5,115.0,115.0
9.5,117.0,117.0
10.6,117.0,117.0
11.7,119.0,119.0
12.7,117.0,117.0
13.8,115.0,115.0
14.9,115.0,115.0
15.9,115.0,115.0
17.0,117.0,117.0
18.1,115.0,115.0
19.1,115.0,115.0
20.2,117.0,117.0
21.3,117.0,117.0
22.3,117.0,117.0
23.4,115.0,115.0
24.5,117.0,117.0
25.5,117.0,117.0
26.6,117.0,117.0
27.6,117.0,117.0
28.7,117.0,117.0
29.8,117.0,117.0
30.8,117.0,117.0
31.9,117.0,117.0
33.0,117.0,117.0
34.0,119.0,119.0
35.1,115.0,115.0
36.1,115.0,115.0
37.2,115.0,115.0
38.3,115.0,115.0
39.3,113.0,113.0
40.4,115.0,115.0
41.4,113.0,113.0
42.5,113.0,113.0
43.6,113.0,113.0
44.6,113.0,113.0
45.7,113.0,113.0
46.7,113.0,113.0
47.8,113.0,113.0
48.9,113.0,113.0
49.9,113.0,113.0
51.0,113.0,113.0
52.0,113.0,113.0
53.1,113.0,113.0
54.2,113.0,113.0
55.2,113.0,113.0
56.3,113.0,113.0
57.3,113.0,113.0
58.4,113.0,113.0
59.5,113.0,113.0
60.5,113.0,113.0
61.6,113.0,113.0
62.6,113.0,113.0
63.7,113.0,113.0
64.8,113.0,113.0
65.9,113.0,113.0
66.9,113.0,113.0
68.0,113.0,113.0
69.0,113.0,113.0
70.1,113.0,113.0
71.2,113.0,113.0
72.2,113.0,113.0
73.3,113.0,113.0
74.3,113.0,113.0
75.4,113.0,113.0
76.5,113.0,113.0
77.5,113.0,113.0
78.6,113.0,113.0
79.6,113.0,113.0
80.7,113.0,113.0
81.8,113.0,113.0
82.8,113.0,113.0
83.9,113.0,113.0
84.9,113.0,113.0
86.0,113.0,113.0
87.1,113.0,113.0
88.1,113.0,113.0
89.2,113.0,113.0
90.3,113.0,113.0
91.3,113.0,113.0
92.4,113.0,113.0
93.4,113.0,113.0
94.5,113.0,113.0
95.6,113.0,113.0
96.6,113.0,113.0
97.7,113.0,113.0
98.7,113.0,113.0
99.8,113.0,113.0
100.9,113.0,113.0
101.9,113.0,113.0
103.0,113.0,113.0
104.1,113.0,113.0
105.1,113.0,113.0
106.2,113.0,113.0
107.2,113.0,113.0
108.3,113.0,113.0
109.4,113.0,113.0
110.4,113.0,113.0
111.5,113.0,113.0
112.6,113.0,113.0
113.6,113.0,113.0
114.7,113.0,113.0
115.7,113.0,113.0
116.8,113.0,113.0
117.9,113.0,113.0
118.9,113.0,113.0
120.0,113.0,113.0
121.1,113.0,113.0
122.1,113.0,113.0
123.2,113.0,113.0
124.2,113.0,113.0
125.3,113.0,113.0
126.4,113.0,113.0
127.4,113.0,113.0
128.5,113.0,113.0
129.6,113.0,113.0
130.6,113.0,113.0
131.7,113.0,113.0
132.8,113.0,113.0
133.8,113.0,113.0
134.9,113.0,113.0
135.9,113.0,113.0
137.0,113.0,113.0
138.1,113.0,113.0
139.1,113.0,113.0
140.2,113.0,113.0
141.2,115.0,115.0
142.3,113.0,113.0
143.4,113.0,113.0
144.4,113.0,113.0
145.5,113.0,113.0
146.6,115.0,115.0
147.6,115.0,115.0
148.7,115.0,115.0
149.8,115.0,115.0
150.8,113.0,113.0
151.9,115.0,115.0
153.0,115.0,115.0
154.0,115.0,115.0
155.1,113.0,113.0
156.1,113.0,113.0
157.2,113.0,113.0
158.3,115.0,115.0
159.3,113.0,113.0
160.4,115.0,115.0
161.4,113.0,113.0
162.5,113.0,113.0
163.6,115.0,115.0
164.6,115.0,115.0
165.7,113.0,113.0
166.7,115.0,115.0
167.8,115.0,115.0
168.9,115.0,115.0
169.9,115.0,115.0
171.0,115.0,115.0
172.0,115.0,115.0
173.1,115.0,115.0
174.2,115.0,115.0
175.2,115.0,115.0
176.3,115.0,115.0
177.3,115.0,115.0
178.4,115.0,115.0
179.5,115.0,115.0
180.5,115.0,115.0
181.6,115.0,115.0
182.6,115.0,115.0
183.7,115.0,115.0
184.8,115.0,115.0
185.8,115.0,115.0
186.9,115.0,115.0
187.9,115.0,115.0
189.0,115.0,115.0
190.1,115.0,115.0
191.1,115.0,115.0
192.2,115.0,115.0
193.3,115.0,115.0
194.3,113.0,113.0
195.4,115.0,115.0
196.4,115.0,115.0
197.5,113.0,113.0
198.6,113.0,113.0
199.6,113.0,113.0
200.7,113.0,113.0
201.8,113.0,113.0
202.8,113.0,113.0
203.9,113.0,113.0
205.0,113.0,113.0
206.0,115.0,115.0
207.1,113.0,113.0
208.1,113.0,113.0
209.2,113.0,113.0
210.3,113.0,113.0
211.3,113.0,113.0
212.4,113.0,113.0
213.4,113.0,113.0
214.5,113.0,113.0
215.6,113.0,113.0
216.6,113.0,113.0
217.7,113.0,113.0
218.8,113.0,113.0
219.8,113.0,113.0
220.9,113.0,113.0
221.9,113.0,113.0
223.0,113.0,113.0
224.1,113.0,113.0
225.1,113.0,113.0
226.2,113.0,113.0
227.3,113.0,113.0
228.3,113.0,113.0
229.4,113.0,113.0
230.5,113.0,113.0
231.5,113.0,113.0
232.6,113.0,113.0
233.6,113.0,113.0
234.7,113.0,113.0
235.8,113.0,113.0
236.8,113.0,113.0
237.9,113.0,113.0
239.0,113.0,113.0
240.0,113.0,113.0
241.1,113.0,113.0
242.1,113.0,113.0
243.2,113.0,113.0
244.3,113.0,113.0
245.3,113.0,113.0
246.4,113.0,113.0
247.5,113.0,113.0
248.5,113.0,113.0
249.6,113.0,113.0
250.7,113.0,113.0
251.7,113.0,113.0
252.8,113.0,113.0
253.8,113.0,113.0
254.9,113.0,113.0
256.0,113.0,113.0
257.0,113.0,113.0
258.1,113.0,113.0
259.1,113.0,113.0
260.2,113.0,113.0
261.3,113.0,113.0
262.3,113.0,113.0
263.4,113.0,113.0
264.4,113.0,113.0
265.5,113.0,113.0
266.6,113.0,113.0
267.6,113.0,113.0
268.7,113.0,113.0
269.8,113.0,113.0
270.8,113.0,113.0
271.9,113.0,113.0
273.0,113.0,113.0
274.0,113.0,113.0
275.1,113.0,113.0
276.2,113.0,113.0
277.2,111.0,111.0
278.3,113.0,113.0
279.3,113.0,113.0
280.4,113.0,113.0
281.5,113.0,113.0
282.5,113.0,113.0
283.6,111.0,111.0
284.7,111.0,111.0
285.7,109.0,109.0
286.8,107.0,107.0
287.8,104.0,104.0
288.9,104.0,104.0
290.0,102.0,102.0
291.0,102.0,102.0
292.1,100.0,100.0
293.1,100.0,100.0
294.2,98.0,98.0
295.3,100.0,100.0
296.3,100.0,100.0
297.4,100.0,100.0
298.5,100.0,100.0
299.5,100.0,100.0
300.6,100.0,100.0
301.6,100.0,100.0
302.7,98.0,98.0
303.8,98.0,98.0
304.8,98.0,98.0
305.9,100.0,100.0
306.9,102.0,102.0
308.0,102.0,102.0
309.1,102.0,102.0
310.1,102.0,102.0
311.2,102.0,102.0
312.3,102.0,102.0
313.3,102.0,102.0
314.4,102.0,102.0
315.5,102.0,102.0
316.5,102.0,102.0
317.6,102.0,102.0
318.7,102.0,102.0
319.7,102.0,102.0
320.8,102.0,102.0
321.9,102.0,102.0
322.9,102.0,102.0
324.0,102.0,102.0
325.1,102.0,102.0
326.1,102.0,102.0
327.2,102.0,102.0
328.2,100.0,100.0
329.3,100.0,100.0
330.4,100.0,100.0
331.4,100.0,100.0
332.5,100.0,100.0
333.6,100.0,100.0
334.6,100.0,100.0
335.7,100.0,100.0
336.7,100.0,100.0
337.8,98.0,98.0
338.9,98.0,98.0
339.9,98.0,98.0
341.0,98.0,98.0
342.1,96.0,96.0
343.1,98.0,98.0
344.2,96.0,96.0
345.3,96.0,96.0
346.3,96.0,96.0
347.4,96.0,96.0
348.5,94.0,94.0
349.5,90.0,90.0
350.6,88.0,88.0
351.7,88.0,88.0
352.7,90.0,90.0
353.8,90.0,90.0
354.8,90.0,90.0
355.9,90.0,90.0
357.0,88.0,88.0
358.0,83.0,83.0
359.1,88.0,88.0
360.2,88.0,88.0
361.2,88.0,88.0
362.3,88.0,88.0
363.4,88.0,88.0
364.4,86.0,86.0
365.5,83.0,83.0
366.6,83.0,83.0
367.6,81.0,81.0
368.7,81.0,81.0
369.7,81.0,81.0
370.8,81.0,81.0
371.9,79.0,79.0
372.9,79.0,79.0
374.0,79.0,79.0
375.1,79.0,79.0
376.1,79.0,79.0
377.2,79.0,79.0
378.3,79.0,79.0
379.3,79.0,79.0
380.4,79.0,79.0
381.5,79.0,79.0
382.5,79.0,79.0
383.6,77.0,77.0
384.7,77.0,77.0
385.7,77.0,77.0
386.8,77.0,77.0
387.9,77.0,77.0
388.9,77.0,77.0
390.0,75.0,75.0
391.0,75.0,75.0
392.1,77.0,77.0
393.2,77.0,77.0
394.2,77.0,77.0
395.3,77.0,77.0
396.4,77.0,77.0
397.4,77.0,77.0
398.5,77.0,77.0
399.6,77.0,77.0
400.6,77.0,77.0
401.7,77.0,77.0
402.8,77.0,77.0
403.8,77.0,77.0
404.9,79.0,79.0
405.9,79.0,79.0
407.0,79.0,79.0
408.1,79.0,79.0
409.1,79.0,79.0
410.2,79.0,79.0
411.3,79.0,79.0
412.3,79.0,79.0
413.4,79.0,79.0
414.5,79.0,79.0
415.5,79.0,79.0
416.6,79.0,79.0
417.7,79.0,79.0
418.7,79.0,79.0
419.8,79.0,79.0
420.9,81.0,81.0
421.9,79.0,79.0
423.0,79.0,79.0
424.1,81.0,81.0
425.1,81.0,81.0
426.2,81.0,81.0
427.3,81.0,81.0
428.3,83.0,83.0
429.4,83.0,83.0
430.5,83.0,83.0
431.5,83.0,83.0
432.6,83.0,83.0
433.7,86.0,86.0
434.7,83.0,83.0
435.8,86.0,86.0
436.9,86.0,86.0
437.9,86.0,86.0
439.0,86.0,86.0
440.1,86.0,86.0
441.1,86.0,86.0
442.2,86.0,86.0
443.3,86.0,86.0
444.3,86.0,86.0
445.4,88.0,88.0
446.5,86.0,86.0
447.5,88.0,88.0
448.6,88.0,88.0
449.7,88.0,88.0
450.7,88.0,88.0
451.8,88.0,88.0
452.9,88.0,88.0
453.9,88.0,88.0
455.0,88.0,88.0
456.1,88.0,88.0
457.1,88.0,88.0
458.2,90.0,90.0
459.3,90.0,90.0
460.3,90.0,90.0
461.4,90.0,90.0
462.4,90.0,90.0
463.5,90.0,90.0
464.6,92.0,92.0
465.6,92.0,92.0
466.7,92.0,92.0
467.8,92.0,92.0
468.8,92.0,92.0
469.9,90.0,90.0
471.0,90.0,90.0
472.0,90.0,90.0
473.1,92.0,92.0
474.2,90.0,90.0
475.2,90.0,90.0
476.3,90.0,90.0
477.4,92.0,92.0
478.4,92.0,92.0
479.5,92.0,92.0
480.5,92.0,92.0
481.6,92.0,92.0
482.7,92.0,92.0
483.7,92.0,92.0
484.8,92.0,92.0
485.9,92.0,92.0
486.9,92.0,92.0
488.0,94.0,94.0
489.1,92.0,92.0
490.1,92.0,92.0
491.2,94.0,94.0
492.2,92.0,92.0
493.3,94.0,94.0
494.4,94.0,94.0
495.4,94.0,94.0
496.5,94.0,94.0
497.6,94.0,94.0
498.6,94.0,94.0
499.7,94.0,94.0
500.8,94.0,94.0
501.9,94.0,94.0
502.9,94.0,94.0
504.0,94.0,94.0
505.1,94.0,94.0
506.1,94.0,94.0
507.2,94.0,94.0
508.3,94.0,94.0
509.3,94.0,94.0
510.4,94.0,94.0
511.4,94.0,94.0
512.5,94.0,94.0
513.6,94.0,94.0
514.7,96.0,96.0
515.7,94.0,94.0
516.8,96.0,96.0
517.8,94.0,94.0
518.9,96.0,96.0
520.0,96.0,96.0
521.0,96.0,96.0
522.1,96.0,96.0
523.2,96.0,96.0
524.2,96.0,96.0
525.3,96.0,96.0
526.4,96.0,96.0
527.5,96.0,96.0
528.5,96.0,96.0
529.6,96.0,96.0
530.7,96.0,96.0
531.7,96.0,96.0
532.8,96.0,96.0
533.9,96.0,96.0
534.9,96.0,96.0
536.0,96.0,96.0
537.1,96.0,96.0
538.1,96.0,96.0
539.2,96.0,96.0
540.3,96.0,96.0
541.3,96.0,96.0
542.4,96.0,96.0
543.4,96.0,96.0
544.5,96.0,96.0
545.6,96.0,96.0
546.6,96.0,96.0
547.7,96.0,96.0
548.8,96.0,96.0
549.8,96.0,96.0
550.9,94.0,94.0
551.9,94.0,94.0
553.0,94.0,94.0
554.1,96.0,96.0
555.1,96.0,96.0
556.2,96.0,96.0
557.3,96.0,96.0
558.3,96.0,96.0
559.4,96.0,96.0
560.5,98.0,98.0
561.5,98.0,98.0
562.6,98.0,98.0
563.7,98.0,98.0
564.7,98.0,98.0
565.8,98.0,98.0
566.9,98.0,98.0
567.9,98.0,98.0
569.0,98.0,98.0
570.1,98.0,98.0
571.1,98.0,98.0
572.2,98.0,98.0
573.3,98.0,98.0
574.3,98.0,98.0
575.4,98.0,98.0
576.5,98.0,98.0
577.5,98.0,98.0
578.6,98.0,98.0
579.7,98.0,98.0
580.7,98.0,98.0
581.8,100.0,100.0
582.9,98.0,98.0
583.9,100.0,100.0
585.0,98.0,98.0
586.1,98.0,98.0
587.1,98.0,98.0
588.2,98.0,98.0
589.3,98.0,98.0
590.3,98.0,98.0
591.4,98.0,98.0
592.5,98.0,98.0
593.5,98.0,98.0
594.6,98.0,98.0
595.7,98.0,98.0
596.7,98.0,98.0
597.8,98.0,98.0
598.8,100.0,100.0
599.9,100.0,100.0
601.0,98.0,98.0
602.0,98.0,98.0
603.1,98.0,98.0
604.2,98.0,98.0
605.2,100.0,100.0
606.3,100.0,100.0
607.3,100.0,100.0
608.4,98.0,98.0
609.5,98.0,98.0
610.5,100.0,100.0
611.6,100.0,100.0
612.7,100.0,100.0
613.8,100.0,100.0
614.8,96.0,96.0
615.9,88.0,88.0
616.9,86.0,86.0
