elapsed,temp_phy0,temp_phy1
1.0,62.0,62.0
2.1,62.0,62.0
3.1,65.0,65.0
4.2,65.0,65.0
5.3,65.0,65.0
6.3,65.0,65.0
7.4,65.0,65.0
8.4,65.0,65.0
9.5,65.0,65.0
10.6,65.0,65.0
11.6,65.0,65.0
12.7,65.0,65.0
13.8,65.0,65.0
14.8,65.0,65.0
15.9,65.0,65.0
16.9,65.0,65.0
18.0,65.0,65.0
19.1,65.0,65.0
20.1,67.0,67.0
21.2,67.0,67.0
22.3,65.0,65.0
23.3,67.0,67.0
24.4,67.0,67.0
25.5,67.0,67.0
26.5,67.0,67.0
27.6,67.0,67.0
28.7,67.0,67.0
29.7,67.0,67.0
30.8,67.0,67.0
31.9,67.0,67.0
32.9,67.0,67.0
34.0,67.0,67.0
35.0,67.0,67.0
36.1,67.0,67.0
37.2,67.0,67.0
38.2,67.0,67.0
39.3,67.0,67.0
40.4,67.0,67.0
41.4,67.0,67.0
42.5,67.0,67.0
43.5,67.0,67.0
44.6,67.0,67.0
45.7,67.0,67.0
46.7,67.0,67.0
47.8,67.0,67.0
48.8,67.0,67.0
49.9,67.0,67.0
51.0,67.0,67.0
52.0,67.0,67.0
53.1,67.0,67.0
54.2,67.0,67.0
55.2,67.0,67.0
56.3,67.0,67.0
57.4,67.0,67.0
58.4,67.0,67.0
59.5,67.0,67.0
60.5,67.0,67.0
61.6,67.0,67.0
62.7,69.0,69.0
63.7,69.0,69.0
64.8,69.0,69.0
65.9,67.0,67.0
66.9,69.0,69.0
68.0,69.0,69.0
69.0,69.0,69.0
70.1,69.0,69.0
71.2,69.0,69.0
72.2,69.0,69.0
73.3,69.0,69.0
74.4,69.0,69.0
75.4,69.0,69.0
76.5,69.0,69.0
77.5,69.0,69.0
78.6,69.0,69.0
79.7,69.0,69.0
80.7,69.0,69.0
81.8,69.0,69.0
82.8,69.0,69.0
83.9,69.0,69.0
85.0,69.0,69.0
86.0,69.0,69.0
87.1,69.0,69.0
88.2,69.0,69.0
89.2,69.0,69.0
90.3,69.0,69.0
91.3,69.0,69.0
92.4,69.0,69.0
93.5,69.0,69.0
94.5,69.0,69.0
95.6,69.0,69.0
96.6,69.0,69.0
97.7,69.0,69.0
98.8,69.0,69.0
99.8,69.0,69.0
100.9,69.0,69.0
101.9,69.0,69.0
103.0,69.0,69.0
104.1,69.0,69.0
105.1,69.0,69.0
106.2,69.0,69.0
107.3,69.0,69.0
108.3,69.0,69.0
109.4,69.0,69.0
110.4,69.0,69.0
111.5,69.0,69.0
112.6,69.0,69.0
113.6,69.0,69.0
114.7,69.0,69.0
115.8,69.0,69.0
116.8,69.0,69.0
117.9,69.0,69.0
119.0,69.0,69.0
120.0,69.0,69.0
121.1,69.0,69.0
122.1,69.0,69.0
123.2,69.0,69.0
124.3,69.0,69.0
125.3,69.0,69.0
126.4,69.0,69.0
127.4,69.0,69.0
128.5,69.0,69.0
129.6,69.0,69.0
130.6,69.0,69.0
131.7,69.0,69.0
132.8,69.0,69.0
133.8,69.0,69.0
134.9,69.0,69.0
136.0,67.0,67.0
137.0,69.0,69.0
138.1,67.0,67.0
139.1,67.0,67.0
140.2,67.0,67.0
141.3,69.0,69.0
142.3,67.0,67.0
143.4,69.0,69.0
144.4,67.0,67.0
145.5,69.0,69.0
146.6,67.0,67.0
147.6,69.0,69.0
148.7,69.0,69.0
149.7,69.0,69.0
150.8,69.0,69.0
151.9,67.0,67.0
152.9,67.0,67.0
154.0,67.0,67.0
155.1,69.0,69.0
156.1,67.0,67.0
157.2,67.0,67.0
158.2,67.0,67.0
159.3,69.0,69.0
160.4,69.0,69.0
161.4,69.0,69.0
162.5,69.0,69.0
163.5,67.0,67.0
164.6,69.0,69.0
165.7,69.0,69.0
166.7,69.0,69.0
167.8,69.0,69.0
168.9,69.0,69.0
169.9,69.0,69.0
171.0,69.0,69.0
172.0,69.0,69.0
173.1,69.0,69.0
174.2,69.0,69.0
175.2,69.0,69.0
176.3,69.0,69.0
177.3,69.0,69.0
178.4,69.0,69.0
179.5,69.0,69.0
180.5,69.0,69.0
181.6,67.0,67.0
182.7,67.0,67.0
