elapsed,temp_phy0,temp_phy1
1.0,73.0,73.0
2.1,77.0,77.0
3.1,79.0,79.0
4.2,81.0,81.0
5.2,83.0,83.0
6.3,83.0,83.0
7.4,86.0,86.0
8.4,83.0,83.0
9.5,86.0,86.0
10.6,88.0,88.0
11.6,88.0,88.0
12.7,88.0,88.0
13.8,90.0,90.0
14.8,90.0,90.0
15.9,92.0,92.0
17.0,92.0,92.0
18.0,92.0,92.0
19.1,92.0,92.0
20.2,94.0,94.0
21.2,94.0,94.0
22.3,96.0,96.0
23.4,94.0,94.0
24.4,96.0,96.0
25.5,96.0,96.0
26.6,96.0,96.0
27.6,96.0,96.0
28.7,98.0,98.0
29.7,98.0,98.0
30.8,98.0,98.0
31.9,98.0,98.0
33.0,98.0,98.0
34.0,98.0,98.0
35.1,98.0,98.0
36.1,100.0,100.0
37.2,100.0,100.0
38.3,100.0,100.0
39.3,100.0,100.0
40.4,100.0,100.0
41.5,100.0,100.0
42.5,100.0,100.0
43.6,100.0,100.0
44.7,100.0,100.0
45.8,100.0,100.0
46.8,102.0,102.0
47.9,102.0,102.0
49.0,100.0,100.0
50.0,100.0,100.0
51.1,102.0,102.0
52.2,102.0,102.0
53.2,102.0,102.0
54.3,102.0,102.0
55.4,102.0,102.0
56.4,102.0,102.0
57.5,102.0,102.0
58.6,102.0,102.0
59.6,102.0,102.0
60.7,102.0,102.0
61.8,102.0,102.0
62.9,102.0,102.0
63.9,102.0,102.0
65.0,102.0,102.0
66.1,102.0,102.0
67.1,104.0,104.0
68.2,104.0,104.0
69.3,104.0,104.0
70.3,104.0,104.0
71.4,104.0,104.0
72.5,104.0,104.0
73.5,104.0,104.0
74.6,104.0,104.0
75.7,104.0,104.0
76.7,104.0,104.0
77.8,104.0,104.0
78.9,104.0,104.0
79.9,104.0,104.0
81.0,104.0,104.0
82.0,104.0,104.0
83.1,107.0,107.0
84.2,107.0,107.0
85.2,107.0,107.0
86.3,107.0,107.0
87.4,107.0,107.0
88.4,104.0,104.0
89.5,107.0,107.0
90.6,107.0,107.0
91.6,107.0,107.0
92.7,107.0,107.0
93.8,107.0,107.0
94.8,107.0,107.0
95.9,107.0,107.0
97.0,107.0,107.0
98.0,107.0,107.0
99.1,107.0,107.0
100.1,107.0,107.0
101.2,107.0,107.0
102.3,109.0,109.0
103.4,107.0,107.0
104.4,107.0,107.0
105.5,107.0,107.0
106.6,109.0,109.0
107.6,109.0,109.0
108.7,109.0,109.0
109.8,109.0,109.0
110.8,109.0,109.0
111.9,109.0,109.0
113.0,109.0,109.0
114.0,109.0,109.0
115.1,109.0,109.0
116.2,109.0,109.0
117.2,109.0,109.0
118.3,109.0,109.0
119.4,109.0,109.0
120.4,109.0,109.0
121.5,109.0,109.0
122.6,111.0,111.0
123.6,109.0,109.0
124.7,109.0,109.0
125.8,109.0,109.0
126.8,109.0,109.0
127.9,109.0,109.0
129.0,111.0,111.0
130.0,111.0,111.0
131.1,111.0,111.0
132.2,111.0,111.0
133.2,111.0,111.0
134.3,111.0,111.0
135.4,111.0,111.0
136.4,111.0,111.0
137.5,111.0,111.0
138.6,111.0,111.0
139.6,111.0,111.0
140.7,111.0,111.0
141.7,111.0,111.0
142.8,111.0,111.0
143.9,111.0,111.0
144.9,113.0,113.0
146.0,111.0,111.0
147.1,113.0,113.0
148.1,111.0,111.0
149.2,111.0,111.0
150.3,111.0,111.0
151.4,111.0,111.0
152.4,111.0,111.0
153.5,111.0,111.0
154.5,111.0,111.0
155.6,111.0,111.0
156.7,111.0,111.0
157.7,111.0,111.0
158.8,111.0,111.0
159.9,111.0,111.0
160.9,111.0,111.0
162.0,113.0,113.0
163.1,113.0,113.0
164.1,113.0,113.0
165.2,113.0,113.0
166.2,113.0,113.0
167.3,113.0,113.0
168.4,113.0,113.0
169.5,113.0,113.0
170.5,113.0,113.0
171.6,113.0,113.0
172.6,113.0,113.0
173.7,113.0,113.0
174.8,113.0,113.0
175.8,113.0,113.0
176.9,113.0,113.0
178.0,113.0,113.0
179.0,113.0,113.0
180.1,115.0,115.0
181.2,113.0,113.0
182.2,113.0,113.0
183.3,113.0,113.0
184.3,113.0,113.0
185.4,113.0,113.0
186.5,113.0,113.0
187.6,113.0,113.0
188.6,113.0,113.0
189.7,113.0,113.0
190.8,113.0,113.0
191.8,113.0,113.0
192.9,113.0,113.0
194.0,115.0,115.0
195.0,115.0,115.0
196.1,115.0,115.0
197.1,113.0,113.0
198.2,113.0,113.0
199.3,113.0,113.0
200.4,113.0,113.0
201.4,115.0,115.0
202.5,113.0,113.0
203.5,115.0,115.0
204.6,115.0,115.0
205.7,115.0,115.0
206.7,115.0,115.0
207.8,115.0,115.0
208.9,115.0,115.0
209.9,115.0,115.0
211.0,115.0,115.0
212.1,115.0,115.0
213.1,115.0,115.0
214.2,115.0,115.0
215.3,115.0,115.0
216.3,115.0,115.0
217.4,115.0,115.0
218.4,115.0,115.0
219.5,115.0,115.0
220.6,115.0,115.0
221.6,115.0,115.0
222.7,115.0,115.0
223.7,115.0,115.0
224.8,115.0,115.0
225.9,115.0,115.0
226.9,115.0,115.0
228.0,115.0,115.0
229.0,115.0,115.0
230.1,115.0,115.0
231.2,115.0,115.0
232.2,113.0,113.0
233.3,115.0,115.0
234.4,115.0,115.0
235.5,115.0,115.0
236.5,115.0,115.0
237.6,115.0,115.0
238.7,115.0,115.0
239.7,115.0,115.0
240.8,115.0,115.0
241.9,115.0,115.0
243.0,115.0,115.0
244.0,115.0,115.0
245.1,115.0,115.0
246.2,115.0,115.0
247.2,115.0,115.0
248.3,115.0,115.0
249.4,115.0,115.0
250.5,115.0,115.0
251.5,115.0,115.0
252.6,115.0,115.0
253.7,115.0,115.0
254.7,115.0,115.0
255.8,115.0,115.0
256.9,117.0,117.0
258.0,115.0,115.0
259.0,117.0,117.0
260.1,115.0,115.0
261.2,115.0,115.0
262.2,115.0,115.0
263.3,117.0,117.0
264.4,117.0,117.0
265.4,117.0,117.0
266.5,117.0,117.0
267.6,117.0,117.0
268.7,117.0,117.0
269.7,117.0,117.0
270.8,117.0,117.0
271.9,117.0,117.0
272.9,117.0,117.0
274.0,117.0,117.0
275.1,117.0,117.0
276.2,117.0,117.0
277.2,117.0,117.0
278.3,117.0,117.0
279.4,117.0,117.0
280.4,117.0,117.0
281.5,117.0,117.0
282.6,117.0,117.0
283.7,117.0,117.0
284.7,117.0,117.0
285.8,117.0,117.0
286.9,117.0,117.0
287.9,117.0,117.0
289.0,117.0,117.0
290.1,117.0,117.0
291.1,117.0,117.0
292.2,117.0,117.0
293.3,117.0,117.0
294.3,117.0,117.0
295.4,117.0,117.0
296.4,117.0,117.0
297.5,117.0,117.0
298.6,117.0,117.0
299.6,117.0,117.0
300.7,117.0,117.0
301.8,117.0,117.0
302.8,117.0,117.0
303.9,117.0,117.0
305.0,117.0,117.0
306.0,117.0,117.0
307.1,117.0,117.0
308.2,117.0,117.0
309.2,117.0,117.0
310.3,117.0,117.0
311.4,117.0,117.0
312.4,117.0,117.0
313.5,117.0,117.0
314.6,117.0,117.0
315.6,117.0,117.0
316.7,117.0,117.0
317.8,117.0,117.0
318.8,117.0,117.0
