elapsed,temp_phy0,temp_phy1,tx_mbps,rx_mbps,total_mbps
1.0,75.0,75.0,0.0,0.0,0.0
2.1,77.0,77.0,54.5,43.4,97.9
3.1,79.0,79.0,147.6,81.3,228.9
4.2,81.0,81.0,93.9,34.6,128.5
5.2,83.0,83.0,77.7,72.7,150.4
6.3,86.0,86.0,69.2,68.2,137.4
7.4,83.0,83.0,93.2,79.8,173.0
8.4,86.0,86.0,73.1,70.6,143.7
9.5,86.0,86.0,69.5,71.0,140.5
10.6,86.0,86.0,56.9,70.9,127.8
11.6,88.0,88.0,46.0,66.8,112.8
12.7,88.0,88.0,46.5,68.2,114.7
13.8,86.0,86.0,126.6,42.3,168.9
14.8,83.0,83.0,177.8,37.4,215.2
15.9,83.0,83.0,161.5,39.2,200.7
16.9,86.0,86.0,155.1,45.0,200.1
18.0,86.0,86.0,155.1,18.2,173.3
19.0,83.0,83.0,205.6,12.6,218.2
20.1,81.0,81.0,203.8,21.0,224.8
21.2,83.0,83.0,150.4,23.8,174.2
22.2,83.0,83.0,257.5,24.8,282.3
23.3,83.0,83.0,213.2,18.9,232.1
24.4,83.0,83.0,165.6,25.9,191.5
25.4,81.0,81.0,259.8,14.3,274.1
26.5,83.0,83.0,251.2,22.7,273.9
27.5,83.0,83.0,223.3,28.7,252.0
28.6,83.0,83.0,242.3,21.7,264.0
29.7,81.0,81.0,323.0,24.1,347.1
30.7,83.0,83.0,214.3,24.1,238.4
31.8,83.0,83.0,221.4,29.7,251.1
32.9,83.0,83.0,174.1,23.4,197.5
33.9,83.0,83.0,237.9,28.4,266.3
35.0,83.0,83.0,153.1,33.9,187.0
36.1,83.0,83.0,182.5,136.6,319.1
37.1,83.0,83.0,182.3,41.6,223.9
38.2,83.0,83.0,181.1,30.4,211.5
39.2,83.0,83.0,174.4,32.2,206.6
40.3,83.0,83.0,173.3,37.0,210.3
41.4,86.0,86.0,155.5,28.0,183.5
42.4,83.0,83.0,189.1,30.0,219.1
43.5,83.0,83.0,180.9,26.6,207.5
44.5,83.0,83.0,141.6,22.4,164.0
45.6,83.0,83.0,152.5,23.4,175.9
46.7,83.0,83.0,157.8,24.5,182.3
47.7,83.0,83.0,195.8,28.0,223.8
48.8,83.0,83.0,177.4,17.5,194.9
49.9,83.0,83.0,198.2,23.8,222.0
50.9,83.0,83.0,85.9,13.3,99.2
52.0,83.0,83.0,105.2,23.8,129.0
53.0,83.0,83.0,151.5,38.8,190.3
54.1,83.0,83.0,138.4,112.9,251.3
55.2,86.0,86.0,159.8,45.8,205.6
56.2,86.0,86.0,171.7,28.7,200.4
57.3,86.0,86.0,203.5,43.8,247.3
58.3,86.0,86.0,187.6,55.4,243.0
59.4,86.0,86.0,142.9,36.4,179.3
60.5,86.0,86.0,120.2,72.0,192.2
61.5,83.0,83.0,120.2,72.0,192.2
